Index,Intersection Name,Latitude,Longitude
0,Tamarack Way and Eucalyptus Drive,37.051601929806694,-120.8625572435124
1,Tamarack Way and Hemlock Drive,37.05127889121981,-120.86469720385118
2,K Street and Illinois Avenue,37.06091455845226,-120.85815982019206
3,K Street and K Street,37.06091455845226,-120.85815982019206
4,K Street and Delaware Avenue,37.06091185293032,-120.85904055658827
5,K Street and K Street,37.06091185293032,-120.85904055658827
6,Cardella Road and Cardella Road,37.34672395002473,-120.47322914740987
7,Cardella Road and Ventanna Way,37.346879599125266,-120.47114404450998
8,Cardella Road and Bancroft Drive,37.34672395002473,-120.47322914740987
9,Cardella Road and Cardella Road,37.346879599125266,-120.47114404450998
10,Grove Avenue and Dolores Street,37.35343129207895,-120.61496068584465
11,Grove Avenue and Grove Avenue,37.3534742629711,-120.61435199092745
12,Grove Avenue and Grove Avenue,37.35343129207895,-120.61496068584465
13,Buchanan Hollow Road and Plainsburg Road,37.200083205509664,-120.32497028745452
14,Buchanan Hollow Road and Buchanan Hollow Road,37.200083205509664,-120.32497028745452
15,Buchanan Hollow Road and Silveira Way,37.19978014305239,-120.34597601867226
16,Santa Fe Drive and Airdrome Entry,37.3629074754467,-120.57666769828964
17,Santa Fe Drive and Santa Fe Drive,37.3629074754467,-120.57666769828964
18,Santa Fe Drive and Wallace Road,37.371358027191064,-120.59031950640282
19,Santa Fe Drive and Santa Fe Drive,37.371358027191064,-120.59031950640282
20,Santa Fe Drive and Buhach Road,37.3629074754467,-120.57666769828964
21,I Street and 22Nd Street,37.30475771296043,-120.47597878373202
22,I Street and 23Rd Street,37.30576280141687,-120.47539052284405
23,I Street and I Street,37.30576280141687,-120.47539052284405
24,I Street and I Street,37.30475771296043,-120.47597878373202
25,Strolling Lane and Pleasant Lane,37.34087628172109,-120.45479214155752
26,Strolling Lane and Breezeway Lane,37.34163488151693,-120.45468568059073
27,Strolling Lane and Canopy Court,37.34163488151693,-120.45468568059073
28,Strolling Lane and Strolling Court,37.34087628172109,-120.45479214155752
29,Meadowbrook Avenue and Meadowbrook Avenue,37.3176741458314,-120.52682136167597
30,Meadowbrook Avenue and Hudson Avenue,37.31856950118011,-120.52680792765308
31,Meadowbrook Avenue and Cabot Avenue,37.3176741458314,-120.52682136167597
32,Meadowbrook Avenue and Meadowbrook Avenue,37.31856950118011,-120.52680792765308
33,I Street and Pacheco Boulevard,37.05686613640722,-120.8652820420232
34,I Street and Airport Road,37.0578729249082,-120.86477976563117
35,I Street and I Street,37.0578729249082,-120.86477976563117
36,I Street and I Street,37.05686613640722,-120.8652820420232
37,Buhach Road and Lake Ridge Street,37.34228065687867,-120.57691360742864
38,Buhach Road and Buhach Road,37.34228065687867,-120.57691360742864
39,Buhach Road and Green Sands Avenue,37.338538876322296,-120.57699746832758
40,Buhach Road and Buhach Road,37.338538876322296,-120.57699746832758
41,Buhach Road and Avenue One Avenue,37.34228065687867,-120.57691360742864
42,Station Avenue and 140,37.30214681707215,-120.58677096218818
43,Station Avenue and Queen Elizabeth Drive,37.30491399191503,-120.58676237599083
44,Station Avenue and Station Avenue,37.30491399191503,-120.58676237599083
45,Goldeneye Drive and Harlequin Drive,37.05852279801184,-120.81254245673357
46,Goldeneye Drive and Brant Drive,37.05859377242626,-120.81526888715139
47,Goldeneye Drive and Harlequin Court,37.05852279801184,-120.81254245673357
48,Lander Avenue and Crane Avenue,37.382535985915254,-120.85047998574768
49,Lander Avenue and Turner Avenue,37.371485258882196,-120.85067762708925
50,Lander Avenue and Lander Avenue,37.382535985915254,-120.85047998574768
51,Lander Avenue and Lander Avenue,37.371485258882196,-120.85067762708925
52,Mendes Court and Tony Court,37.322776721069204,-120.58727400287758
53,Mendes Court and Station Avenue,37.322776721069204,-120.58727400287758
54,Tenth Street and Jefferson Avenue,37.05427082936134,-120.84258788233939
55,Tenth Street and Madison Avenue,37.05352653996788,-120.84258448295472
56,Tenth Street and Tenth Street,37.05427082936134,-120.84258788233939
57,13Th Street and 13Th Street,37.29438473230165,-120.47831975973307
58,13Th Street and H Street,37.29494631274362,-120.47982876330849
59,13Th Street and G Street,37.29438473230165,-120.47831975973307
60,13Th Street and 13Th Street,37.29494631274362,-120.47982876330849
61,Tyler Road and Cone Avenue,37.284273434865405,-120.46978550161131
62,Tyler Road and Tyler Road,37.284273434865405,-120.46978550161131
63,Tyler Road and Tyler Road,37.287883746410635,-120.4698003566815
64,Pepperdine Court and Occidental Court,37.32830227486454,-120.4731355372116
65,Pepperdine Court and Campus Drive,37.32830227486454,-120.4731355372116
66,Sultana Drive and Sultana Drive,37.37305060772788,-120.68349630829336
67,Sultana Drive and 99,37.37321307795108,-120.68325385036833
68,Sultana Drive and Liberty Avenue,37.37321307795108,-120.68325385036833
69,Sultana Drive and 99,37.37321307795108,-120.68325385036833
70,Waterfall Drive and Clipper Drive,37.3667386250142,-120.59219292581173
71,Waterfall Drive and Manzanita Drive,37.36449060075929,-120.59224176535764
72,Winepress Street and Elmwood Drive,37.08229451790547,-120.84694002680658
73,Winepress Street and Vintner Street,37.08230041493637,-120.84476393359269
74,Sultana Drive and Longview Avenue,37.35301490039709,-120.68678041465641
75,Sultana Drive and Westside Boulevard,37.36028562477251,-120.68670397209398
76,Sultana Drive and Sultana Drive,37.35301490039709,-120.68678041465641
77,Sultana Drive and Sultana Drive,37.36028562477251,-120.68670397209398
78,13Th Street and 13Th Street,37.29438473230165,-120.47831975973307
79,13Th Street and 13Th Street,37.29355760743142,-120.4760786396223
80,13Th Street and E Street,37.29355760743142,-120.4760786396223
81,13Th Street and G Street,37.29438473230165,-120.47831975973307
82,San Mateo Court and Buena Vista Drive,37.32635176779887,-120.48593514704702
83,Willowbrook and Willowbrook,37.31513189898032,-120.50290242792624
84,Willowbrook and Willowbrook,37.31493179131472,-120.50211106064583
85,Willowbrook and Willowbrook Avenue,37.31493179131472,-120.50211106064583
86,Willowbrook and Willowbrook Avenue,37.31513189898032,-120.50290242792624
87,Canal School Road and Canal School Road,37.281947445091134,-121.0083774156811
88,Canal School Road and Netherton Road,37.281947445091134,-121.0083774156811
89,Canal School Road and 33,37.28335927523361,-121.0083550975947
90,Canal School Road and Canal School Road,37.28335927523361,-121.0083550975947
91,Cowden Avenue and Cowden Avenue,37.32586923071667,-120.53366134685878
92,Cowden Avenue and Hays Drive,37.32517711711224,-120.53367135366157
93,Cowden Avenue and Pinedale Avenue,37.32586923071667,-120.53366134685878
94,Lynn Avenue and Plum Street,36.980905047772794,-120.62178256624229
95,Lynn Avenue and Valeria Street,36.98174866878733,-120.62178393345451
96,Peach Avenue and Arcadia Drive,37.375022880820325,-120.73224857666912
97,Peach Avenue and Peach Avenue,37.375022880820325,-120.73224857666912
98,Peach Avenue and Peach Avenue,37.37502355188205,-120.7293156262994
99,Tamara Court and Merced Avenue,37.291462286462725,-120.42686611590497
100,Bella Street and Palermo Drive,37.06921609049507,-120.82061396920145
101,Bella Street and Prato Court,37.06848028483001,-120.82063695830242
102,Bella Street and Bella Street,37.06848028483001,-120.82063695830242
103,Bella Street and Corsico Court,37.06848028483001,-120.82063695830242
104,Eucalyptus Road and Eucalyptus Road,37.01111917900124,-120.6899690500583
105,Eucalyptus Road and Eucalyptus Road,37.011058055338,-120.68090532264604
106,Eucalyptus Road and Cozzi Road,37.01111917900124,-120.6899690500583
107,Eucalyptus Road and Swift Avenue,37.011058055338,-120.68090532264604
108,Creekside Drive and Riverbrook Court,37.06117933745317,-120.81206330602069
109,Creekside Drive and Snow Goose Drive,37.06127368384803,-120.81122865503934
110,Creekside Drive and Creekside Drive,37.06117933745317,-120.81206330602069
111,Creekside Drive and Creekside Drive,37.06127368384803,-120.81122865503934
112,Fourth Street and L Street,36.966525335867395,-120.65499769104328
113,Fourth Street and Shain Avenue,36.967409187780326,-120.6542815339395
114,Fourth Street and Fourth Street,36.966525335867395,-120.65499769104328
115,Burgundy Drive and Burgundy Drive,37.37820009966854,-120.70990713228431
116,Burgundy Drive and Burgundy Drive,37.37818810142555,-120.70893657263841
117,Burgundy Drive and Gamay Way,37.37818810142555,-120.70893657263841
118,Burgundy Drive and Chianti Drive,37.37820009966854,-120.70990713228431
119,Monroe Avenue and Monroe Circle,37.05241859895033,-120.84668111409268
120,Monroe Avenue and Monroe Avenue,37.05241859895033,-120.84668111409268
121,Monroe Avenue and Hillview Drive,37.05253557988536,-120.84520476843217
122,Village Woods Drive and Village Woods Drive,37.368175951363966,-120.62233364478733
123,Village Woods Drive and Village Woods Drive,37.366513791935155,-120.62285395969008
124,Village Woods Drive and Michigan Avenue,37.368175951363966,-120.62233364478733
125,Village Woods Drive and Stacey Court,37.366513791935155,-120.62285395969008
126,Village Woods Drive and New Mexico Avenue,37.366513791935155,-120.62285395969008
127,Valencia Drive and Granada Circle,37.06068412344857,-120.86516698425227
128,Railroad Avenue and Commerce Avenue,37.339932281091166,-120.59444904504043
129,Railroad Avenue and Southern Pacific Avenue,37.339932281091166,-120.59444904504043
130,Railroad Avenue and 99,37.34008455900751,-120.59486033061391
131,Railroad Avenue and Railroad Avenue,37.34008455900751,-120.59486033061391
