Index1,Index2,Intersections,Distance
27857,27858,R Street Village Apartments - El Redondo Drive,1.09199774688
27858,27859,El Redondo Drive - Compass Pointe Apartments,0.35225533327999997
27859,27863,Compass Pointe Apartments - Merced College The Bus Terminal,1.6612359032
27863,27856,Merced College The Bus Terminal - M Circle Bus Stop,1.63439266736
27856,27843,M Circle Bus Stop - University Transit Center,2.9234893588799995
27843,27880,University Transit Center - Wingstop/Promenade Center,3.78110588912
27880,27861,Wingstop/Promenade Center - Merced Mall Target,2.12092631696
27861,27877,Merced Mall Target - Walmart on Loughborough,1.20751065296
27877,27875,Walmart on Loughborough - Amtrak Station,2.26259895056
27875,27876,Amtrak Station - K Street Between 18th and 19th Street,0.5660691632
