Index1,Index2,Intersections,Distance

27843,27880,University Transit Center - Wingstop/Promenade Center,3.78110588912
27880,27857,Wingstop/Promenade Center - R Street Village Apartments,1.6348897643199998
27857,27858,R Street Village Apartments - El Redondo Drive,1.09199774688
27858,27859,El Redondo Drive - Compass Pointe Apartments,0.35225533327999997
27859,27861,Compass Pointe Apartments - Merced Mall Target,1.7036134190399999
27861,27862,Merced Mall Target - Village Apartments. M Street,0.49411437824
27862,27885,Village Apartments. M Street - Ironstone Drive and M Street,1.28928310288
27885,27886,Ironstone Drive and M Street - Yosemite and Cordova (Physician Center),1.6481249708799999
27886,27882,Yosemite and Cordova (Physician Center) - Moraga Subdivision,1.32936154528
27882,27843,Moraga Subdivision - University Transit Center,2.57887689136
