Index1,Index2,Intersections,Distance
27857,27858,R Street Village Apartments - El Redondo Drive,1.09199774688
27858,27859,El Redondo Drive - Compass Pointe Apartments,0.35225533327999997
27859,27863,Compass Pointe Apartments - Merced College The Bus Terminal,1.6612359032
27863,27856,Merced College The Bus Terminal - M Circle Bus Stop,1.63439266736
27856,27843,M Circle Bus Stop - University Transit Center,2.9234893588799995
27843,27875,University Transit Center - Amtrak Station,6.5567089024
27875,27876,Amtrak Station - K Street Between 18th and 19th Street,0.5660691632
27876,27887,K Street Between 18th and 19th Street - UC Merced Downtown Campus Center,0.34473674175999997
27887,27881,UC Merced Downtown Campus Center - Merced Transpo,0.35672920592
27881,27857,Merced Transpo - R Street Village Apartments,2.6060308128
