Destination,Destination_Name,Distance_Miles,Path,Path_Names
1,UC MERCED,3.30476,0 -> 30 -> 5 -> 17 -> 1,781 IRMA DRIVE -> M Circle Bus Stop  -> M Street and Bellevue Road -> UC Merced -> UC MERCED
2,Park Avenue and Alexander Avenue,9.30864,0 -> 18 -> 19 -> 20 -> 11 -> 13 -> 21 -> 22 -> 15 -> 12 -> 7 -> 16 -> 23 -> 24 -> 25 -> 3 -> 2,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Southbound) ->  El Portal Plaza & G St. (Southbound) ->  G St. & W. Alexander Ave. (Paul's Place) -> G Street and Park Avenue -> Park Avenue and Olive Avenue ->  Olive Avenue and North Highway 59 ->  North Highway 59 and Willowbrook Drive -> Willowbrook and La Cresenta Avenue -> La Cresenta Avenue and La Mirada Drive -> La Mirada Drive and La Palma Avenue -> La Palma Avenue and Willowbrook Drive ->  Granville Apartments ->  Willowbrook and North Highway 59 ->  North Highway 59 and Olive Avenue -> Olive Avenue and Park Avenue -> Park Avenue and Alexander Avenue
3,Olive Avenue and Park Avenue,9.05549,0 -> 18 -> 19 -> 20 -> 11 -> 13 -> 21 -> 22 -> 15 -> 12 -> 7 -> 16 -> 23 -> 24 -> 25 -> 3,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Southbound) ->  El Portal Plaza & G St. (Southbound) ->  G St. & W. Alexander Ave. (Paul's Place) -> G Street and Park Avenue -> Park Avenue and Olive Avenue ->  Olive Avenue and North Highway 59 ->  North Highway 59 and Willowbrook Drive -> Willowbrook and La Cresenta Avenue -> La Cresenta Avenue and La Mirada Drive -> La Mirada Drive and La Palma Avenue -> La Palma Avenue and Willowbrook Drive ->  Granville Apartments ->  Willowbrook and North Highway 59 ->  North Highway 59 and Olive Avenue -> Olive Avenue and Park Avenue
4,Bellevue Road and Lake Road,3.48645,0 -> 30 -> 5 -> 17 -> 4,781 IRMA DRIVE -> M Circle Bus Stop  -> M Street and Bellevue Road -> UC Merced -> Bellevue Road and Lake Road
5,M Street and Bellevue Road,0.668222,0 -> 30 -> 5,781 IRMA DRIVE -> M Circle Bus Stop  -> M Street and Bellevue Road
6,Cardella Road and M Street,2.64356,0 -> 29 -> 8 -> 6,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Northbound) -> G Street and Cardella Road -> Cardella Road and M Street
7,La Mirada Drive and La Palma Avenue,6.67464,0 -> 18 -> 19 -> 20 -> 11 -> 13 -> 21 -> 22 -> 15 -> 12 -> 7,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Southbound) ->  El Portal Plaza & G St. (Southbound) ->  G St. & W. Alexander Ave. (Paul's Place) -> G Street and Park Avenue -> Park Avenue and Olive Avenue ->  Olive Avenue and North Highway 59 ->  North Highway 59 and Willowbrook Drive -> Willowbrook and La Cresenta Avenue -> La Cresenta Avenue and La Mirada Drive -> La Mirada Drive and La Palma Avenue
8,G Street and Cardella Road,2.16411,0 -> 29 -> 8,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Northbound) -> G Street and Cardella Road
9,Bellevue Road and G Street,5.48615,0 -> 30 -> 5 -> 17 -> 4 -> 9,781 IRMA DRIVE -> M Circle Bus Stop  -> M Street and Bellevue Road -> UC Merced -> Bellevue Road and Lake Road -> Bellevue Road and G Street
10,Park Avenue and G Street,9.74322,0 -> 18 -> 19 -> 20 -> 11 -> 13 -> 21 -> 22 -> 15 -> 12 -> 7 -> 16 -> 23 -> 24 -> 25 -> 3 -> 2 -> 10,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Southbound) ->  El Portal Plaza & G St. (Southbound) ->  G St. & W. Alexander Ave. (Paul's Place) -> G Street and Park Avenue -> Park Avenue and Olive Avenue ->  Olive Avenue and North Highway 59 ->  North Highway 59 and Willowbrook Drive -> Willowbrook and La Cresenta Avenue -> La Cresenta Avenue and La Mirada Drive -> La Mirada Drive and La Palma Avenue -> La Palma Avenue and Willowbrook Drive ->  Granville Apartments ->  Willowbrook and North Highway 59 ->  North Highway 59 and Olive Avenue -> Olive Avenue and Park Avenue -> Park Avenue and Alexander Avenue -> Park Avenue and G Street
11,G Street and Park Avenue,3.60793,0 -> 18 -> 19 -> 20 -> 11,781 IRMA DRIVE ->  Mercy Hospital / Tri-College (Southbound) ->  El Portal Plaza & G St. (Southbound) ->  G St. & W. Alexander Ave. (Paul's Place) -> G Street and Park Avenue
