Index1,Index2,Intersections,Distance
27857,27858,R Street Village Apartments - El Redondo Drive,1.09199774688
27858,27859,El Redondo Drive - Compass Pointe Apartments,0.35225533327999997
27859,27860,Compass Pointe Apartments - Buena Vista Drive,1.55380082272
27860,27861,Buena Vista Drive - Merced Mall Traget,2.1714437955199997
27861,27862,Merced Mall Target - Village Apartments. M Street,0.49411437824
27862,27863,Village Apartments. M Street - Merced College The Bus Terminal,0.7312917652800001
27863,27864,Merced College The Bus Terminal - Cardella Rd. & M St. (Northbound),0.8937181969599999
27864,27856,Cardella Rd. & M St. (Northbound) - M Circle Bus Stop,0.7406744704
27856,27843,M Circle Bus Stop - University Transit Center,2.9234893588799995
27843,27865,University Transit Center - Foothill Drive,2.7857313638399996
27865,27866,Foothill Drive - Cardella Rd. & M St. (Southbound),0.9956230737599999
27866,27857,Cardella Rd. & M St. (Southbound) - R Street Village Apartments,1.61730495936
