Destination,Destination_Name,Distance_Miles,Path,Path_Names
1,Tamarack Way and Hemlock Drive,0,0 -> 18 -> 19 -> 10 -> 12 -> 20 -> 21 -> 14 -> 11 -> 6 -> 15 -> 22 -> 23 -> 24 -> 2 -> 1,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street -> Grove Avenue and Grove Avenue -> Santa Fe Drive and Buhach Road -> I Street and 22Nd Street -> Buchanan Hollow Road and Buchanan Hollow Road -> Grove Avenue and Grove Avenue -> Cardella Road and Cardella Road -> Buchanan Hollow Road and Silveira Way -> I Street and 23Rd Street -> I Street and I Street -> I Street and I Street -> K Street and Illinois Avenue -> Tamarack Way and Hemlock Drive
2,K Street and Illinois Avenue,0,0 -> 18 -> 19 -> 10 -> 12 -> 20 -> 21 -> 14 -> 11 -> 6 -> 15 -> 22 -> 23 -> 24 -> 2,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street -> Grove Avenue and Grove Avenue -> Santa Fe Drive and Buhach Road -> I Street and 22Nd Street -> Buchanan Hollow Road and Buchanan Hollow Road -> Grove Avenue and Grove Avenue -> Cardella Road and Cardella Road -> Buchanan Hollow Road and Silveira Way -> I Street and 23Rd Street -> I Street and I Street -> I Street and I Street -> K Street and Illinois Avenue
3,K Street and K Street,0,0 -> 18 -> 17 -> 8 -> 3,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Cardella Road and Bancroft Drive -> K Street and K Street
4,K Street and Delaware Avenue,0,0 -> 18 -> 17 -> 8 -> 3 -> 16 -> 4,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Cardella Road and Bancroft Drive -> K Street and K Street -> Santa Fe Drive and Airdrome Entry -> K Street and Delaware Avenue
5,K Street and K Street,0,0 -> 18 -> 17 -> 8 -> 3 -> 16 -> 4 -> 29 -> 5,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Cardella Road and Bancroft Drive -> K Street and K Street -> Santa Fe Drive and Airdrome Entry -> K Street and Delaware Avenue -> Meadowbrook Avenue and Meadowbrook Avenue -> K Street and K Street
6,Cardella Road and Cardella Road,0,0 -> 18 -> 19 -> 10 -> 12 -> 20 -> 21 -> 14 -> 11 -> 6,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street -> Grove Avenue and Grove Avenue -> Santa Fe Drive and Buhach Road -> I Street and 22Nd Street -> Buchanan Hollow Road and Buchanan Hollow Road -> Grove Avenue and Grove Avenue -> Cardella Road and Cardella Road
7,Cardella Road and Ventanna Way,0,0 -> 18 -> 19 -> 10 -> 12 -> 20 -> 21 -> 14 -> 11 -> 6 -> 15 -> 22 -> 23 -> 24 -> 2 -> 1 -> 13 -> 25 -> 26 -> 27 -> 28 -> 7,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street -> Grove Avenue and Grove Avenue -> Santa Fe Drive and Buhach Road -> I Street and 22Nd Street -> Buchanan Hollow Road and Buchanan Hollow Road -> Grove Avenue and Grove Avenue -> Cardella Road and Cardella Road -> Buchanan Hollow Road and Silveira Way -> I Street and 23Rd Street -> I Street and I Street -> I Street and I Street -> K Street and Illinois Avenue -> Tamarack Way and Hemlock Drive -> Buchanan Hollow Road and Plainsburg Road -> Strolling Lane and Pleasant Lane -> Strolling Lane and Breezeway Lane -> Strolling Lane and Canopy Court -> Strolling Lane and Strolling Court -> Cardella Road and Ventanna Way
8,Cardella Road and Bancroft Drive,0,0 -> 18 -> 17 -> 8,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Cardella Road and Bancroft Drive
9,Cardella Road and Cardella Road,0,0 -> 18 -> 19 -> 10 -> 12 -> 20 -> 21 -> 14 -> 11 -> 6 -> 15 -> 22 -> 23 -> 24 -> 2 -> 1 -> 9,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street -> Grove Avenue and Grove Avenue -> Santa Fe Drive and Buhach Road -> I Street and 22Nd Street -> Buchanan Hollow Road and Buchanan Hollow Road -> Grove Avenue and Grove Avenue -> Cardella Road and Cardella Road -> Buchanan Hollow Road and Silveira Way -> I Street and 23Rd Street -> I Street and I Street -> I Street and I Street -> K Street and Illinois Avenue -> Tamarack Way and Hemlock Drive -> Cardella Road and Cardella Road
10,Grove Avenue and Dolores Street,0,0 -> 18 -> 19 -> 10,Tamarack Way and Eucalyptus Drive -> Santa Fe Drive and Wallace Road -> Santa Fe Drive and Santa Fe Drive -> Grove Avenue and Dolores Street
