Index1,Index2,Intersections,Distance
27884,27880,University Surgery Center - Wingstop/Promenade Center,0.48280542239999996
27880,27879,Wingstop/Promenade Center - Yosemite Crossings Shopping Center,0.50442914016
27879,27855,Yosemite Crossings Shopping Center - Mercy Hospital / Tri-College (Northbound),0.47702667024
27855,27864,Mercy Hospital / Tri-College (Northbound) - Cardella Rd. & M St. (Northbound),1.0320975632
27864,27856,Cardella Rd. & M St. (Northbound) - M Circle Bus Stop,0.7406744704
27856,27843,M Circle Bus Stop - University Transit Center,2.9234893588799995
27843,27844,University Transit Center - Mercy Hospital / Tri-College (Southbound),4.01070254752
27844,27886,Mercy Hospital / Tri-College (Southbound) - Yosemite and Cordova (Physician Center),0.60434562912
27886,27884,Yosemite and Cordova (Physician Center) - University Surgery Center,0.61024865552
27884,27882,University Surgery Center - Moraga Subdivision,0.71911288976
27882,27843,Moraga Subdivision - University Transit Center,2.57887689136
27843,27884,University Transit Center - University Surgery Center,3.29830046672
