length_miles,road_name
0.1204,TAMARACK WAY
0.0487,WEST K STREET
0.1161,WEST CARDELLA ROAD
0.0336,GROVE AVENUE
1.1629,BUCHANAN HOLLOW ROAD
0.9509,SANTA FE DRIVE
0.0765,I STREET
0.0526,STROLLING LANE
0.0617,MEADOWBROOK AVENUE
0.0748,WEST I STREET
0.2581,NORTH BUHACH ROAD
0.1908,STATION AVENUE
0.1508,GOLDENEYE DRIVE
0.7621,LANDER AVENUE
0.188,MENDES COURT
0.0513,SOUTH TENTH STREET
0.0917,WEST 13TH STREET
0.249,TYLER ROAD
0.0653,PEPPERDINE COURT
0.0174,SULTANA DRIVE
0.155,WATERFALL DRIVE
0.1202,WINEPRESS STREET
0.5014,SULTANA DRIVE
0.136,EAST 13TH STREET
0.0674,SAN MATEO COURT
0.0457,WILLOWBROOK
0.0974,SOUTH CANAL SCHOOL ROAD
0.0477,COWDEN AVENUE
0.0582,LYNN AVENUE
0.1614,PEACH AVENUE
0.1065,TAMARA COURT
0.0508,BELLA STREET
0.5013,EUCALYPTUS ROAD
0.0472,SOUTH CREEKSIDE DRIVE
0.0727,FOURTH STREET
0.0534,BURGUNDY DRIVE
0.0824,MONROE AVENUE
0.1237,VILLAGE WOODS DRIVE
0.0398,VALENCIA DRIVE
0.025,RAILROAD AVENUE
0.0545,ACACIA STREET
0.0402,PISTACHIO COURT
0.0968,EAST OLIVE AVENUE
0.0442,LAGOON AVENUE
0.0909,WEST 8TH STREET
0.0491,DURANT WAY
0.0394,PAULSON ROAD
0.0548,SPAIN STREET
0.0195,CASTELLANA STREET
0.0608,WEST AVENUE
0.0466,BLACKBERRY AVENUE
0.504,NORTH BERT CRANE ROAD
0.1445,TOULON COURT
0.106,KENSINGTON DRIVE
0.1275,COMMERCE WAY
0.5051,EUCALYPTUS ROAD
1.0074,SUNSET DRIVE
0.044,WINCHESTER COURT
0.0157,EAST YOSEMITE PARKWAY
0.0908,WEST 12TH STREET
0.3764,EAST CHILDS AVENUE
0.028,RUBICON COURT
0.0781,CRYSTAL DRIVE
0.02,ALDRICH DRIVE
0.0735,LETTEAU AVENUE
0.0757,R STREET
0.0634,HUNT ROAD
0.0513,NONPAREIL DRIVE
0.2907,SANTA FE DRIVE
0.1201,SOUTH MANCHESTER DRIVE
0.0558,BRIARWOOD DRIVE
0.0701,SONIC AVENUE
0.0545,SPACECRAFT DRIVE
0.0331,ALPS COURT
0.1284,HIGHWAY 99
0.0716,PECAN COURT
0.1466,VAN BUREN AVENUE
0.0422,FAIRLANE AVENUE
0.0486,MARINER WAY
0.0061,BUCKEYE LANE
0.0585,NARVAEZ WAY
0.151,MCDOWELL STREET
1.2633,COTTONWOOD ROAD
10.9362,LA PALOMA ROAD
0.0489,ANTLER COURT
0.4918,JONES ROAD
0.0491,SPADAFORE STREET
0.2779,OAKDALE ROAD
0.0829,WREN COURT
0.144,ALMOND AVENUE
0.0271,SERPILIO STREET
0.0549,SPRUCE COURT
0.502,WEST REILLY ROAD
0.0738,CHERRY AVENUE
0.0487,ZELKOVA WAY
0.5004,KEATON ROAD
0.0658,WINTON COMMUNITY PARK
0.0561,TEAK AVENUE
0.0913,WEST 23RD STREET
0.0742,FREMONT STREET
0.098,CASSIDY COURT
0.0643,SIERRA MADRE DRIVE
0.0535,SOUTH ELEVENTH STREET
0.0979,LEAF DRIVE
0.0243,MAIN STREET
0.0429,BLUE JAY COURT
0.172,VISTA GRANDE DRIVE
1.0009,SHIPPEE ROAD
0.0621,CARMEL ROAD
0.0625,SOUTH FOURTH STREET
0.05,IRENE LANE
0.1375,LA MESA LANE
0.0922,SERR COURT
0.115,LIVE OAK STREET
0.1293,MULBERRY AVENUE
0.1029,MCCURDY STREET
0.0132,SOUTH HIGHWAY 99
0.0239,AIRFLIGHT DRIVE
0.0409,MARTIN LUTHER KING JR WAY
0.7551,EAST CHILDS AVENUE
0.068,AMERICAN AVENUE
0.064,COOK STREET
0.0233,ISLAND ROAD
0.0274,POPPY COURT
0.0489,SKYLARK STREET
0.126,TANGERINE AVENUE
0.9942,WEST JEFFERSON ROAD
0.051,LOS FELIS WAY
0.039,GOLDENROD COURT
0.1987,EAST CHILDS AVENUE
0.0474,STONEWOOD DRIVE
0.0021,SOUTH NANTES AVENUE
0.0759,K STREET
