Destination,Destination_Name,Distance_Miles,Path,Path_Names
1,University Transit Center,3.38765,0 -> 10 -> 1,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center
2,Mercy Hospital / Tri-College (Southbound),7.39836,0 -> 10 -> 1 -> 2,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center -> Mercy Hospital / Tri-College (Southbound)
3,El Portal Plaza & G St. (Southbound),8.16009,0 -> 10 -> 1 -> 2 -> 3,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center -> Mercy Hospital / Tri-College (Southbound) -> El Portal Plaza & G St. (Southbound)
4,G St. & W. Alexander Ave. (Paul's Place),8.85659,0 -> 10 -> 1 -> 2 -> 3 -> 4,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center -> Mercy Hospital / Tri-College (Southbound) -> El Portal Plaza & G St. (Southbound) -> G St. & W. Alexander Ave. (Paul's Place)
5,Granville Apartments,11.694,0 -> 10 -> 1 -> 2 -> 3 -> 4 -> 5,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center -> Mercy Hospital / Tri-College (Southbound) -> El Portal Plaza & G St. (Southbound) -> G St. & W. Alexander Ave. (Paul's Place) -> Granville Apartments
6,G St. & W. Alexander Ave. (76 Gas Station),14.2976,0 -> 10 -> 1 -> 2 -> 3 -> 4 -> 5 -> 6,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center -> Mercy Hospital / Tri-College (Southbound) -> El Portal Plaza & G St. (Southbound) -> G St. & W. Alexander Ave. (Paul's Place) -> Granville Apartments -> G St. & W. Alexander Ave. (76 Gas Station)
7,Rite Aid / Walgreens,13.0036,0 -> 10 -> 1 -> 19 -> 30 -> 21 -> 22 -> 23 -> 7,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center -> Foothill Drive -> Mercy Hospital / Tri-College (Southbound) -> G Street South (Raley's) -> Amtrak Station -> K Street Between 18th and 19th Street -> Rite Aid / Walgreens
8,El Portal Plaza & G St. (Northbound),13.5114,0 -> 10 -> 1 -> 19 -> 30 -> 21 -> 22 -> 23 -> 7 -> 8,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center -> Foothill Drive -> Mercy Hospital / Tri-College (Southbound) -> G Street South (Raley's) -> Amtrak Station -> K Street Between 18th and 19th Street -> Rite Aid / Walgreens -> El Portal Plaza & G St. (Northbound)
9,Mercy Hospital / Tri-College (Northbound),8.15022,0 -> 10 -> 1 -> 31 -> 27 -> 26 -> 9,781 IRMA DRIVE -> M Circle Bus Stop -> University Transit Center -> University Surgery Center -> Wingstop/Promenade Center -> Yosemite Crossings Shopping Center -> Mercy Hospital / Tri-College (Northbound)
10,M Circle Bus Stop,0.464164,0 -> 10,781 IRMA DRIVE -> M Circle Bus Stop
